City Name,Country,Latitude,Longitude,Humidity (%),Temperature (F),Max Temp (F),Cloudiness (%),Wind Speed (mph),Date
Pangnirtung,CA,66.1451,-65.7125,68,-2.23,-2.23,9,2.03,1970-01-01 00:00:01.634771604
Rock sound,BS,24.9,-76.2,71,27.13,27.13,71,9.67,1970-01-01 00:00:01.634771325
Port alfred,ZA,-33.5906,26.891,85,16.98,16.98,27,6.7,1970-01-01 00:00:01.634771604
Vila franca do campo,PT,37.7167,-25.4333,74,17.23,17.23,51,0.95,1970-01-01 00:00:01.634771604
Hermanus,ZA,-34.4187,19.2345,86,16.56,16.56,86,2.94,1970-01-01 00:00:01.634771605
Lorengau,PG,-2.0226,147.2712,70,29.04,29.04,72,3.3,1970-01-01 00:00:01.634771605
Sabha,LY,27.0377,14.4283,34,23.28,23.28,99,7.3,1970-01-01 00:00:01.634771606
Rungata,,,,,,,,,
Kamenskoye,,,,,,,,,
Kavieng,PG,-2.5744,150.7967,77,27.71,27.71,94,2.62,1970-01-01 00:00:01.634771606
Mehamn,NO,71.0357,27.8492,60,1.37,1.37,100,11.19,1970-01-01 00:00:01.634771607
Hasaki,JP,35.7333,140.8333,54,12.22,12.94,99,6.36,1970-01-01 00:00:01.634771607
Marang,MY,5.2056,103.2059,85,25.4,25.4,100,1.85,1970-01-01 00:00:01.634771607
Sitka,US,57.0531,-135.33,58,11.94,11.94,90,7.72,1970-01-01 00:00:01.634771399
Dikson,RU,73.5069,80.5464,59,-2.26,-2.26,90,5.72,1970-01-01 00:00:01.634771429
Mariental,NA,-24.6333,17.9667,65,19.23,19.23,44,7.49,1970-01-01 00:00:01.634771608
Gandajika,CD,-6.75,23.95,95,19.74,19.74,94,1.55,1970-01-01 00:00:01.634771609
Moron,AR,-34.6534,-58.6198,73,20.01,21.12,24,2.68,1970-01-01 00:00:01.634771466
Naron,ES,43.5167,-8.1528,82,15.21,16.12,93,2.65,1970-01-01 00:00:01.634771609
Miri,MY,4.4148,114.0089,95,23.89,23.89,72,2.13,1970-01-01 00:00:01.634771609
El alto,PE,-4.2714,-81.2147,82,16.81,16.81,40,7.01,1970-01-01 00:00:01.634771610
Sakakah,SA,29.9697,40.2064,38,20.77,20.77,3,2.04,1970-01-01 00:00:01.634771610
Sarangani,PH,5.4033,125.4636,73,27.8,27.8,100,1.19,1970-01-01 00:00:01.634771611
Saskylakh,RU,71.9167,114.0833,98,-11.97,-11.97,99,2.49,1970-01-01 00:00:01.634771611
Kruisfontein,ZA,-34.0033,24.7314,71,15.67,15.67,48,1.16,1970-01-01 00:00:01.634771384
Dagda,LV,56.0951,27.5372,79,12.89,12.89,100,7.59,1970-01-01 00:00:01.634771612
Ribeira grande,PT,38.5167,-28.7,62,21.23,21.23,75,2.14,1970-01-01 00:00:01.634771416
Marzuq,YE,14.4,46.4667,56,22.91,22.91,75,0.6,1970-01-01 00:00:01.634771612
Nanortalik,GL,60.1432,-45.2371,69,2.75,2.75,1,1.18,1970-01-01 00:00:01.634771613
Kyrksaeterora,NO,63.2906,9.0891,80,7.01,7.05,100,8.75,1970-01-01 00:00:01.634771613
Alofi,NU,-19.0595,-169.9187,66,24.26,24.26,68,7.97,1970-01-01 00:00:01.634771419
Dukat,RU,62.55,155.55,94,-20.56,-20.56,24,1.54,1970-01-01 00:00:01.634771613
Muros,ES,42.7762,-9.0603,94,14.53,16.8,74,2.66,1970-01-01 00:00:01.634771614
Fortuna,US,40.5982,-124.1573,67,17.42,18.19,1,0.89,1970-01-01 00:00:01.634771557
Aripuana,BR,-9.1667,-60.6333,72,26.21,26.21,78,0.53,1970-01-01 00:00:01.634771614
Shubarkuduk,KZ,49.1447,56.4872,73,1.65,1.65,91,6.86,1970-01-01 00:00:01.634771615
Kadykchan,,,,,,,,,
Vila velha,BR,-20.3297,-40.2925,88,18.97,18.97,75,4.12,1970-01-01 00:00:01.634771615
Agirish,RU,61.9247,63.0231,89,-2.09,-2.09,28,2.13,1970-01-01 00:00:01.634771616
Palabuhanratu,,,,,,,,,
Terrenate,MX,19.4833,-97.9167,72,16.92,16.92,93,2.23,1970-01-01 00:00:01.634771616
Havre-saint-pierre,CA,50.2334,-63.5986,79,8.32,8.32,100,3.07,1970-01-01 00:00:01.634771617
Heron,BE,50.5473,5.0977,83,15.57,16.21,100,11.54,1970-01-01 00:00:01.634771617
Vanimo,PG,-2.6741,141.3028,92,24.81,24.81,100,0.91,1970-01-01 00:00:01.634771467
Warqla,,,,,,,,,
Iracoubo,GF,5.4802,-53.2011,78,26.91,26.91,38,4.15,1970-01-01 00:00:01.634771618
Faanui,PF,-16.4833,-151.75,80,25.75,25.75,14,3,1970-01-01 00:00:01.634771618
Payakumbuh,ID,-0.2202,100.6308,97,20.61,20.61,99,1.11,1970-01-01 00:00:01.634771618
Fukue,JP,32.6881,128.8419,80,15.15,15.15,100,1.46,1970-01-01 00:00:01.634771619
Hamilton,US,39.1834,-84.5333,63,18.68,19.91,20,3.6,1970-01-01 00:00:01.634771619
Viransehir,TR,37.2353,39.7631,30,16.87,16.87,0,2.97,1970-01-01 00:00:01.634771620
Poum,NC,-20.2333,164.0167,86,20.7,20.7,100,1.85,1970-01-01 00:00:01.634771620
Murray bridge,AU,-35.1167,139.2667,54,17.4,19.14,84,2.38,1970-01-01 00:00:01.634771620
Hargeysa,SO,9.56,44.065,41,20.62,20.62,56,2.62,1970-01-01 00:00:01.634771621
Chuy,UY,-33.6971,-53.4616,69,14.57,14.57,58,4.13,1970-01-01 00:00:01.634771621
Pitimbu,BR,-7.4706,-34.8086,81,27.33,27.33,9,4.98,1970-01-01 00:00:01.634771621
Oksfjord,NO,70.2396,22.3479,90,-2.43,-1.49,100,5.15,1970-01-01 00:00:01.634771622
Aykhal,RU,66,111.5,98,1.77,1.77,100,10.03,1970-01-01 00:00:01.634771622
Ponta do sol,PT,32.6667,-17.1,78,22.37,23.35,100,2.91,1970-01-01 00:00:01.634771383
Sarakhs,IR,36.5449,61.1577,51,13.99,13.99,29,4.54,1970-01-01 00:00:01.634771623
Skagastrond,,,,,,,,,
Naze,JP,28.3667,129.4833,82,17.51,17.51,100,5.27,1970-01-01 00:00:01.634771518
Hilton head island,US,32.2163,-80.7526,71,20.51,22.77,1,2.57,1970-01-01 00:00:01.634771461
Richmond,US,37.5538,-77.4603,74,16.6,19.43,1,2.06,1970-01-01 00:00:01.634771367
Rawson,AR,-43.3002,-65.1023,33,21.63,21.63,20,12.54,1970-01-01 00:00:01.634771624
Voznesenye,RU,61.0106,35.4781,88,3.91,3.91,100,7.25,1970-01-01 00:00:01.634771624
Tiksi,RU,71.6872,128.8694,94,-11.71,-11.71,100,2.41,1970-01-01 00:00:01.634771624
Monze,ZM,-16.2833,27.4833,61,19.17,19.17,13,3.43,1970-01-01 00:00:01.634771625
Batemans bay,AU,-35.7167,150.1833,75,18.05,21.22,95,2.04,1970-01-01 00:00:01.634771625
Barcelos,PT,41.5388,-8.6151,94,17.17,17.69,46,1.69,1970-01-01 00:00:01.634771512
Bardiyah,LY,31.7561,25.0865,71,19.69,19.69,27,2.54,1970-01-01 00:00:01.634771626
Victoria,HK,22.2855,114.1577,87,25.77,26.29,88,0.45,1970-01-01 00:00:01.634771483
Vasilyevskiy mokh,RU,57.0132,35.919,100,6.01,6.01,100,7.27,1970-01-01 00:00:01.634771626
Baculin,PH,7.4525,126.5842,76,27.38,27.38,100,1.91,1970-01-01 00:00:01.634771627
Te anau,NZ,-45.4167,167.7167,71,9.13,9.13,72,1.11,1970-01-01 00:00:01.634771443
Thompson,CA,55.7435,-97.8558,64,1,1,56,2.64,1970-01-01 00:00:01.634771466
Talnakh,RU,69.4865,88.3972,95,-2.53,-2.53,100,5.99,1970-01-01 00:00:01.634771627
Durres,AL,41.3231,19.4414,74,11.1,11.1,0,2.69,1970-01-01 00:00:01.634771628
Maragogi,BR,-9.0122,-35.2225,87,25.07,25.07,10,3.82,1970-01-01 00:00:01.634771628
Kraslava,LV,55.8951,27.168,76,13.54,13.54,100,7.48,1970-01-01 00:00:01.634771629
Develi,TR,38.3906,35.4922,58,-0.36,-0.36,2,0.66,1970-01-01 00:00:01.634771629
Grand gaube,MU,-20.0064,57.6608,75,22.99,22.99,53,1.34,1970-01-01 00:00:01.634771629
Batsfjord,NO,70.6345,29.7185,77,0.02,0.02,100,9.87,1970-01-01 00:00:01.634771630
Szekesfehervar,HU,47.1899,18.4103,65,13.2,15.08,97,7.64,1970-01-01 00:00:01.634771630
Nena,PH,11.7658,125.4178,92,25.83,25.83,87,1.44,1970-01-01 00:00:01.634771630
Santa eulalia,PE,-11.85,-76.6833,71,1.08,1.38,100,1.66,1970-01-01 00:00:01.634771631
Qaanaaq,GL,77.484,-69.3632,93,-8.7,-8.7,83,0.69,1970-01-01 00:00:01.634771631
Isangel,VU,-19.55,169.2667,87,24.53,24.53,100,6.58,1970-01-01 00:00:01.634771632
Nam som,TH,17.7704,102.1895,93,25.01,25.01,63,0.61,1970-01-01 00:00:01.634771632
Georgetown,MY,5.4112,100.3354,95,24.41,24.97,20,0.45,1970-01-01 00:00:01.634771487
Mount gambier,AU,-37.8333,140.7667,66,17.56,17.56,55,3.04,1970-01-01 00:00:01.634771410
Ostrovnoy,RU,68.0531,39.5131,73,0.07,0.07,100,7.44,1970-01-01 00:00:01.634771633
Sao joao da barra,BR,-21.6403,-41.0511,93,18.53,18.53,100,5.4,1970-01-01 00:00:01.634771633
Sahrak,,,,,,,,,
Chernyshevskiy,RU,63.0128,112.4714,97,1.83,1.83,100,4.78,1970-01-01 00:00:01.634771634
Nizhnedevitsk,RU,51.5419,38.3657,49,5.03,5.03,100,9.18,1970-01-01 00:00:01.634771634
Auxerre,FR,47.8,3.5667,77,14.23,17.92,100,12.69,1970-01-01 00:00:01.634771634
Pilao arcado,,,,,,,,,
Dingle,PH,10.9995,122.6711,89,25.96,25.96,66,2.06,1970-01-01 00:00:01.634771635
Korla,CN,41.7597,86.1469,28,10.62,10.62,23,0.26,1970-01-01 00:00:01.634771635
Tilichiki,RU,60.4667,166.1,81,-11.49,-11.49,95,2.69,1970-01-01 00:00:01.634771636
Nizhneyansk,,,,,,,,,
Lerwick,GB,60.1545,-1.1494,64,5,5,95,16.3,1970-01-01 00:00:01.634771636
Karpogory,RU,64.0019,44.4451,70,-0.85,-0.85,100,6.01,1970-01-01 00:00:01.634771637
Baruun-urt,MN,46.6806,113.2792,76,-1.98,-1.98,5,2.87,1970-01-01 00:00:01.634771637
Severo-kurilsk,RU,50.6789,156.125,63,2.26,2.26,81,10.24,1970-01-01 00:00:01.634771637
Mizur,RU,42.8531,44.0531,87,-2.43,-2.11,43,1.85,1970-01-01 00:00:01.634771638
Fort nelson,CA,58.8053,-122.7002,68,8.01,8.01,8,1.92,1970-01-01 00:00:01.634771476
Artyk,,,,,,,,,
Bahile,PH,9.9995,118.7878,80,25.7,25.7,81,0.37,1970-01-01 00:00:01.634771638
Roma,US,43.2128,-75.4557,69,16.45,17.75,75,1.54,1970-01-01 00:00:01.634771639
Payo,ID,-3.7508,103.6372,99,22.14,22.14,100,0.47,1970-01-01 00:00:01.634771639
Sibay,RU,52.7181,58.6658,78,-0.66,-0.66,95,7,1970-01-01 00:00:01.634771640
Shache,CN,38.4167,77.2406,25,10.77,10.77,62,0.97,1970-01-01 00:00:01.634771640
Khatanga,RU,71.9667,102.5,97,-4.19,-4.19,100,2.37,1970-01-01 00:00:01.634771640
Takaungu,KE,-3.6837,39.8566,86,24.02,24.02,63,4.94,1970-01-01 00:00:01.634771641
Gorontalo,ID,0.5412,123.0595,83,26.59,26.59,81,1.26,1970-01-01 00:00:01.634771642
Vao,NC,-22.6667,167.4833,94,21.11,21.11,100,5.78,1970-01-01 00:00:01.634771642
Peniche,PT,39.3558,-9.3811,94,18,19.23,3,4.09,1970-01-01 00:00:01.634771643
Lishu,CN,43.3047,124.3278,54,2.45,2.45,6,0.79,1970-01-01 00:00:01.634771643
Kishi,NG,9.0833,3.85,92,22.05,22.05,92,2,1970-01-01 00:00:01.634771644
Aiken,US,33.5835,-81.5998,68,19.78,23.39,1,0,1970-01-01 00:00:01.634771403
Norman wells,CA,65.282,-126.8329,83,0.64,0.64,99,1.71,1970-01-01 00:00:01.634771644
East london,ZA,-33.0153,27.9116,84,16.94,16.94,51,6.1,1970-01-01 00:00:01.634771644
Cayenne,GF,4.9333,-52.3333,79,28.38,28.38,0,0.89,1970-01-01 00:00:01.634771530
Cabo san lucas,MX,22.8909,-109.9124,61,29.56,31.45,20,6.17,1970-01-01 00:00:01.634771548
Dzhebariki-khaya,RU,62.2167,135.8,95,-5.78,-5.78,100,0.75,1970-01-01 00:00:01.634771645
Halalo,,,,,,,,,
Zhigansk,RU,66.7697,123.3711,92,-6.85,-6.85,86,3.95,1970-01-01 00:00:01.634771646
Iqaluit,CA,63.7506,-68.5145,85,-0.17,-0.17,28,0.67,1970-01-01 00:00:01.634771646
Doume,CM,4.2333,13.45,100,19.4,19.4,97,1.17,1970-01-01 00:00:01.634771647
Shelburne,CA,44.0787,-80.2041,73,13.68,14.82,67,4,1970-01-01 00:00:01.634771384
Dhidhdhoo,MV,6.8833,73.1,76,27.44,27.44,100,4.73,1970-01-01 00:00:01.634771647
Kambove,CD,-10.8764,26.5969,46,21.45,21.45,97,1.8,1970-01-01 00:00:01.634771648
Visby,SE,57.6409,18.296,87,12.12,12.25,75,10.29,1970-01-01 00:00:01.634771648
Tubruq,,,,,,,,,
Adrar,MR,20.5022,-10.0711,19,25.02,25.02,5,5.19,1970-01-01 00:00:01.634771649
San quintin,MX,30.4833,-115.95,66,19.53,19.53,0,6.51,1970-01-01 00:00:01.634771649
Abonnema,NG,4.7084,6.7931,87,24.43,24.43,100,1.02,1970-01-01 00:00:01.634771650
Lebu,CL,-37.6167,-73.65,84,12.45,12.45,79,2.78,1970-01-01 00:00:01.634771414
Viligili,,,,,,,,,
Tasiilaq,GL,65.6145,-37.6368,46,-0.17,-0.17,63,4.71,1970-01-01 00:00:01.634771650
Umzimvubu,,,,,,,,,
Mys shmidta,,,,,,,,,
Ancud,CL,-41.8697,-73.8203,93,11.74,11.9,100,3.94,1970-01-01 00:00:01.634771651
Tuatapere,NZ,-46.1333,167.6833,55,11.17,11.17,93,1.51,1970-01-01 00:00:01.634771652
Bathsheba,BB,13.2167,-59.5167,78,28.34,28.34,40,9.77,1970-01-01 00:00:01.634771652
Nouadhibou,MR,20.931,-17.0347,66,22.34,22.34,0,6.79,1970-01-01 00:00:01.634771652
Ilulissat,GL,69.2167,-51.1,68,-2.99,-2.99,100,1.03,1970-01-01 00:00:01.634771423
Tungkang,,,,,,,,,
Kahului,US,20.8947,-156.47,64,27.58,29.01,20,8.23,1970-01-01 00:00:01.634771653
Kindu,CD,-2.95,25.95,100,20.78,20.78,100,1.14,1970-01-01 00:00:01.634771654
Strezhevoy,RU,60.7333,77.5889,84,-0.01,-0.01,100,2.82,1970-01-01 00:00:01.634771654
Yar-sale,RU,66.8333,70.8333,85,-1.97,-1.97,89,2.76,1970-01-01 00:00:01.634771654
Vila do maio,CV,15.1333,-23.2167,75,27.44,27.44,2,8.54,1970-01-01 00:00:01.634771655
Nhulunbuy,AU,-12.2333,136.7667,66,30.34,30.34,75,5.14,1970-01-01 00:00:01.634771418
Pervomayskoye,RU,43.919,46.7102,46,5.13,5.13,2,2.33,1970-01-01 00:00:01.634771655
Aswan,EG,24.0934,32.907,36,23.87,23.87,0,7.91,1970-01-01 00:00:01.634771180
Lasa,IT,46.6166,10.7002,89,9.25,11.41,92,2.48,1970-01-01 00:00:01.634771656
Airai,TL,-8.9266,125.4092,54,21.12,21.12,98,0.32,1970-01-01 00:00:01.634771440
Praia,CV,14.9215,-23.5087,54,27.3,27.3,0,8.75,1970-01-01 00:00:01.634771656
Tiznit,MA,29.5833,-9.5,32,22.69,22.69,43,1.82,1970-01-01 00:00:01.634771657
Novoagansk,RU,61.9449,76.6625,89,4.08,4.08,100,3.41,1970-01-01 00:00:01.634771657
Upington,ZA,-28.4478,21.2561,79,18.86,18.86,100,2.02,1970-01-01 00:00:01.634771658
Suleja,NG,9.1758,7.1808,93,22.73,22.73,100,1.1,1970-01-01 00:00:01.634771658
Progreso,MX,21.2833,-89.6667,80,25.62,25.62,91,6.31,1970-01-01 00:00:01.634771659
Bengkulu,ID,-3.8004,102.2655,89,23.45,23.45,94,1.66,1970-01-01 00:00:01.634771659
Jazzin,,,,,,,,,
Smithers,CA,54.7804,-127.1743,87,6.18,6.18,90,2.06,1970-01-01 00:00:01.634771659
Bemidji,US,47.4736,-94.8803,58,6.45,7.73,75,5.66,1970-01-01 00:00:01.634771660
Longyearbyen,SJ,78.2186,15.6401,67,-11.09,-11.09,0,3.6,1970-01-01 00:00:01.634771390
Troitskoye,RU,52.9821,84.6757,57,5.15,5.15,77,3.49,1970-01-01 00:00:01.634771660
Pechenga,RU,69.5259,31.1703,93,-2.52,-2.52,100,10.69,1970-01-01 00:00:01.634771661
Prestea,GH,5.4327,-2.1428,97,23.34,23.34,99,1.13,1970-01-01 00:00:01.634771661
